MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"S5124952","Located In A Family Friendly Neighbourhood, This Home Backs Onto A Quite Cul De Sac With No Direct Neighbours Behind. Enjoy Entertaining At Home With An Updated Kitchen With Granite Countertops And Open Concept Living And Dining Space With Beautiful Hardwoods Floors, Updated Trim, Pots Lights And A Neutral Paint Pallet. Large Private Fenced Backyard, Interlock Patio, Gas Hook-Up For Bbq And 6-Person Hot Tub (2020). The Lower Level Reno'd 2018.**** EXTRAS **** Fridge, Stove, Dishwasher, Clothes Washer, Clothes Dryer, All Existing Window Coverings, All Existing Lighting Fixtures, All Existing Bathroom Mirrors. (27973100)","2","3",,"House",,"42 MCDOUGALL DR|Barrie, Ontario L4N7H7","-79.7176454","44.4101155","L4N7H7","West Bayfield","$650,000 ","Single Family","4","Freehold",,,"Full (Finished)","Forced air (Natural gas)","67 x 109 FT",,"$3,630.66",,"https://cdn.realtor.ca/listing/TS637497017672300000/reb82/highres/2/s5124952_1.jpg"
"S5124778","Great Detached Home For Sale! 2 Bedrooms On The Main Level With An Additional In The Basement. Fully Fenced, Large Backyard With No Neighbours On The One Side Or Immediately Behind. Great Location Close To School And Public Transit Routes. Great Canvas If You Are Wanting To Renovate, Invest Or Purchase Your First Home. New Front Window And Front Door 2020, New Front Deck 2020, Hot Water Rental Is $21/Month.**** EXTRAS **** See Attached Schedule For Solar Panels (27971641)","2","2 + 1",,"House",,"41 LOUGHEED RD|Barrie, Ontario L4N8G2","-79.7304135","44.3192479","L4N8G2","Holly","$499,900 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","42.06 FT",,"$4,000",,"https://cdn.realtor.ca/listing/TS637498012368870000/reb82/highres/8/s5124778_1.jpg"
"S5124603","Move-Into This Cozy & Well Maintained Family Home W/Contemporary Touches. This Home Was Fully Renovated 5 Yrs Ago; Front Porch & Bkyd Extended Deck: 2 Yrs New; Roof Is 5 Yrs New; A/C Is 5 Yrs New. Direct Access Into Garage From Home. Private & Fully Fenced Yard W/Extended Newer Deck. Hardwood Floors, Updated Kitchen W/Granite Countertops & S.S. Appliances. Room Sizes Are For Buyer To Confirm. Conveniently Located & Walking Distance To Amenities.**** EXTRAS **** S.S. Appliances: Double Door Fridge W/Freezer On The Bottom, Stove, Dishwasher, Microwave. Side-By-Side Washer & Dryer. Existing Electrical Light Fixtures; Existing Window Coverings. Hot Water Tank Is A Rental. Furniture Is For Sale. (27971458)","3","3 + 1",,"House",,"14 A JANICE DR|Barrie, Ontario L4N5Y2","-79.722098","44.40278","L4N5Y2","Sunnidale","$599,000 ","Single Family","5","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","33.5 x 110.01 FT","Public Transit","$3,600",,"https://cdn.realtor.ca/listing/TS637496896976130000/reb82/highres/3/s5124603_1.jpg"
"40071258","This home is an absolute must see! Located in a family friendly neighbourhood, it backs onto a quite cul de sac, with no direct neighbours behind. Enjoy entertaining at home with an updated kitchen with granite countertops and open concept living and dining space with beautiful hardwoods floors, updated trim, pots lights and a neutral paint pallet. This level also features main floor laundry with natural gas dryer. Walk out to a gardeners dream with large private fenced backyard, interlock patio, gas hook-up for BBQ and 6-person Hot Tub (2020). The hardwood floors and updated trim are continued to the second level which offers a large primary bedroom with walk-in closet, two great sized secondary bedrooms and updated full bath. The lower level has been completely finished with durable laminate flooring and stunning feature wall (2018). Walking distance to multiple schools, parks and Montessori schools, shopping along Bayfield Street, Georgian Mall and easy access to Highway 400. True pride of ownership in this gem, you won't be disappointed! (62917379)","2","3 + 0","1313.0000","House",,"42 MCDOUGALL Drive|Barrie, Ontario L4N7H7","-79.7176158","44.41010677","L4N7H7",,"$650,000 ","Single Family",,"Freehold",,,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Schools, Shopping",,"Res","https://cdn.realtor.ca/listing/TS637496856787100000/reb17/highres/8/40071258_1.jpg"
"40067721","Investors take note! Legal Duplex near Lake Simcoe. Steps to downtown Barrie. Updated and well maintained 2 x 1-bedroom units with own laundries, hydro meters. Zoned RM1. Large Lot which would allow for future addition. FEATURES: Laminate flooring, neutral sunny décor, 1495 s.f. of living space, newer furnace, 2 sets of appliances, 62 x 130 lot with double drive parking for 6 cars, large deck and patio area, mature trees. (62913210)","2","2 + 0","1495.0000","House",,"25 GROVE Street W|Barrie, Ontario L4N1M6","-79.697842","44.395947","L4N1M6",,"$595,000 ","Single Family","6","Freehold",,,"Partial (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Beach, Marina, Park, Place of Worship, Public Transit, Schools",,"RM1","https://cdn.realtor.ca/listing/TS637496754308430000/reb17/highres/1/40067721_1.jpg"
"N5124226","One Of A Kind- Charming Fully Renovated Home On A Private 50 X 150 Lot- Backing Onto Big Cedar Golf & Country Club And Right Across From The Lake. Move In Ready Home With All The Bells And Whistles. Convenient Quiet Location- Close To All Amenities & New Development. Brand New Gourmet Kitchen With Quartz Counters, Brand New S/S Appliances, Center Island, 6"""" Hardwood Floors Through Out.**** EXTRAS **** All Elf, New S/S Kit Appliances, Washer Dryer All Windows & Roof Dec 2020. Move In Ready! Legal Description: Pt S Pt Lot 26 Con 6 Innisfil As In Ro1167083, Together With An Easement Over Parts 1, 2 & 3 Plan 51R38784 *Hwt Rental (27969300)","1","2",,"House",,"1556 HOUSTON AVE|Innisfil, Ontario","-79.530787","44.2950898","","Alcona","$649,000 ","Single Family",,"Freehold",,,"Crawl space","Baseboard heaters (Electric)","50 x 150 FT",,"$2,259",,"https://cdn.realtor.ca/listing/TS637496700977470000/reb82/highres/6/n5124226_1.jpg"
"S5123625","Wonderful 4 Bed, 3.1 Bath Semi Detached Located In Barrie's City Centre Steps To Shopping, Downtown, Lake , Public Transit & Easy Hwy Access. Open Concept Design On The Main Floor Allows For Easy Family Gatherings, Engineered Hardwood Through The Main Flr. 3 Bedrooms Upstairs, Master Offers 3 Pc Ensuite & Lrg Wlak-In Closet. The Lower Level Offers Great Potential For A Possible Second Suite With A Seperate Side Entrance. Private Fenced Yard With Deck .**** EXTRAS **** Inclusions: Fr,St,Dishwaher, Wa,Dr, Light Fixtures, All Window Blinds, Shed, Playset, Sandbox, Ecobee Thermostat, Garage Door Opener And Remote Exclusions: All Curtains & Hardware, Tv's & Tv Mounts, Shelf In Front Hall And Coat Racks. (27967547)","4","3 + 1",,"House",,"14A FERRIS LANE|Barrie, Ontario L4M2X7","-79.7001324","44.4033963","L4M2X7","City Centre","$599,900 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","25 x 122 FT","Hospital, Marina, Public Transit","$3,751.69",,"https://cdn.realtor.ca/listing/TS637496155802770000/reb82/highres/5/s5123625_1.jpg"
"40070823","Absolutely Stunning 3+1 Bedroom 3 Bathroom All Brick Detached Home With 2 Car Garage On A 54' Wide Lot! Located In Desirable East Bayfield! Moments From Schools, Parks, Shopping & Georgian College! Open Concept Kitchen With Large Island & Stainless Steel Appliances! Main Floor Family Room With Gas Fireplace! Walk-Out To A Large Patio (2018) & Excellent Private Backyard! Spacious & Bright Principal Rooms! Huge Master Bedroom with Ensuite & Walk-In Closet! New Roof (2020)! Finished Basement With Separate Bedroom/Office and Large Rec Room! Tons of Storage Space! A Must See! (62914038)","3","3 + 1","1700.0000","House",,"6 WATSON Drive|Barrie, Ontario L4M6W3","-79.70150076","44.42063325","L4M6W3",,"$599,900 ","Single Family",,"Freehold","Central Vacuum, Dishwasher, Refrigerator, Washer, Microwave Built-in, Window Coverings",,"Full (Finished)","Forced air","under 1/2 acre","Park, Schools, Shopping",,"Residential","https://cdn.realtor.ca/listing/TS637496694902470000/reb85/highres/3/40070823_1.jpg"
"S5123545","Absolutely Stunning 3+1 Bdrm 3 Bath All Brick Detached Home W/ 2 Car Garage On A 54' Wide Lot! Open Concept Kitchen With Large Island & S/S Appliances! Main Floor Family Room With Gas Fireplace! Walk-Out To A Large Patio (2018) & Excellent Private Backyard! Spacious & Bright Principal Rooms! Huge Master Bdrm With Ensuite & Walk-In Closet! New Roof (2020) Finished Basement With Separate Bedroom/Office And Large Rec Room! Tons Of Storage Space! A Must See!**** EXTRAS **** Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer, Dryer, Central Vacuum, Garage Door Opener, All Elfs, All Window Coverings. Rental:Hot Water Heater. Large Garage With Inside Access + Deep Driveway With No Sidewalk! Don't Miss This One! (27966083)","3","3 + 1",,"House",,"6 WATSON DR|Barrie, Ontario L4M6W3","-79.7024964","44.4201928","L4M6W3","East Bayfield","$599,900 ","Single Family","6","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","54.13 x 82.02 FT",,"$4,477.82",,"https://cdn.realtor.ca/listing/TS637496015023200000/reb82/highres/5/s5123545_1.jpg"
"40070390","This home is located in north end of Barrie near college and hospital. Home has nice curb appeal with a covered front porch and double doors leading to the foyer that has a door to access the garage from inside. Downstairs has large rec-room with gas fireplace filled with natural sunlight from the huge windows. There are also 3 bedrooms and a full bathroom in basement which all have large windows. The laundry room is clean and spacious. The Split landing when you walk in would be very easy to convert this home into having separate entrances. Upstairs there are two more bedrooms. A bright living room dining room, Well thought out kitchen design with bar stool seating and room for a breakfast table and chairs. Off the kitchen there is a sliding glass door leading to the deck in the fully fenced backyard. The master bedroom can easily fit a king size bed, Has his and hers walk in closets and its own ensuite complete with corner soaker tub and shower. The roof has also recently been replaced. This home is well kept and shows really well. PLEASE ADHERE TO COVID RULES FOR VIEWING, MASKS AND GLOVES MANDATORY. MINIMAL TOUCHING. DO NOT USE WASHROOMS. AGENTS AND 2 BUYERS MAX NO CHILDREN. (62911738)","3","2 + 3",,"House",,"68 BRIGHTON Street|Barrie, Ontario L4M6S3","-79.657659","44.409117","L4M6S3",,"$649,900 ","Single Family","3","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital",,"Residential","https://cdn.realtor.ca/listing/TS637495899604800000/reb17/highres/0/40070390_1.jpg"
